,env_name,env_mode,map_type,map_metrics,non_empty_ratio,normal_qd_score,distance_qd_score,best_normal_fitness,best_distance_fitness
42,ant,DISTANCE_CONTACT,single_map,eval_fitness,0.033179012345679014,-467.886961966753,70.46652799844742,195.26936,3.517207
43,walker,NORMAL_FINAL_POS,single_map,eval_fitness,0.04,485.1346778869629,4.763424456119537,190.82593,1.9657305
44,humanoid,NORMAL_FINAL_POS,single_map,eval_fitness,0.00390625,1655.7589416503906,2.4060646295547485,591.28687,0.7870833
45,ant,NORMAL_FINAL_POS,single_map,eval_fitness,0.0048828125,138.8573055267334,10.205267310142517,216.97527,3.9205365
46,walker,NORMAL_CONTACT,single_map,eval_fitness,0.3134765625,21545.42817878723,153.49643207713962,145.88664,1.6136285
47,humanoid,NORMAL_CONTACT,single_map,eval_fitness,0.1708984375,49117.402923583984,81.41685931012034,550.0327,1.0710888
48,ant,NORMAL_CONTACT,single_map,eval_fitness,0.023148148148148147,-1018.4247353076935,52.824166655540466,210.4803,3.370953
49,humanoid,DIRECTIONAL_CONTACT,single_map,eval_fitness,0.212890625,49484.308364868164,83.6683204472065,354.48553,0.7473413
50,ant,DIRECTIONAL_CONTACT,single_map,eval_fitness,0.017746913580246913,-763.9073581695557,35.587128251791,193.82352,3.8262444
51,walker,CONTROL_FINAL_POS,single_map,eval_fitness,0.04,413.83690452575684,4.335080206394196,139.21393,1.2639053
52,humanoid,CONTROL_FINAL_POS,single_map,eval_fitness,0.00390625,1403.5113220214844,2.641706198453903,396.36237,0.80480933
53,ant,CONTROL_FINAL_POS,single_map,eval_fitness,0.00390625,166.61148834228516,4.928199768066406,200.7143,2.2410152
54,walker,DISTANCE_FINAL_POS,single_map,eval_fitness,0.04,406.5760307312012,4.479259371757507,171.3755,1.3376286
55,humanoid,DISTANCE_FINAL_POS,single_map,eval_fitness,0.00390625,1124.8761291503906,2.6373186707496643,363.965,0.8886495
56,ant,DISTANCE_FINAL_POS,single_map,eval_fitness,0.0048828125,-1678.2754364013672,18.937655925750732,-143.02496,4.6043897
57,walker,DISTANCE_CONTACT,single_map,eval_fitness,0.3427734375,15245.167222753167,198.3635980086401,132.3026,1.2899622
58,humanoid,DISTANCE_CONTACT,single_map,eval_fitness,0.248046875,47114.34999847412,74.3373889606446,434.39865,1.0535191
59,ant,DISTANCE_CONTACT,single_map,eval_fitness,0.02854938271604938,-4695.821292877197,63.442187428474426,203.62863,3.555117
60,walker,NORMAL_FINAL_POS,single_map,eval_fitness,0.04,574.0761184692383,4.19414210319519,161.93405,1.2755975
61,humanoid,NORMAL_FINAL_POS,single_map,eval_fitness,0.00390625,1407.0035400390625,1.7021156549453735,382.97116,0.4896757
62,ant,NORMAL_FINAL_POS,single_map,eval_fitness,0.00390625,480.46748542785645,5.5877832770347595,218.80666,1.8958791
63,walker,NORMAL_CONTACT,single_map,eval_fitness,0.296875,23879.054744243622,254.73128607869148,191.36589,1.590468
64,humanoid,NORMAL_CONTACT,single_map,eval_fitness,0.1396484375,33547.52123260498,44.54940473474562,408.80948,0.78893036
65,ant,NORMAL_CONTACT,single_map,eval_fitness,0.02854938271604938,-81.23305034637451,58.0271278321743,218.29172,2.5977938
66,humanoid,DIRECTIONAL_CONTACT,single_map,eval_fitness,0.193359375,24071.66732788086,25.082217073068023,336.71643,0.7367009
67,ant,DIRECTIONAL_CONTACT,single_map,eval_fitness,0.015432098765432098,-2069.80451631546,44.82116413116455,215.76012,3.8403726
68,walker,CONTROL_FINAL_POS,single_map,eval_fitness,0.04,584.3373565673828,4.477313280105591,178.6875,1.4853804
69,humanoid,CONTROL_FINAL_POS,single_map,eval_fitness,0.00390625,1810.1687622070312,2.656163454055786,505.99655,0.80486023
70,ant,CONTROL_FINAL_POS,single_map,eval_fitness,0.00390625,817.0993881225586,2.8361650854349136,235.53906,1.6104407
71,walker,DISTANCE_FINAL_POS,single_map,eval_fitness,0.03,129.48149967193604,3.770529270172119,124.26655,1.7818714
72,humanoid,DISTANCE_FINAL_POS,single_map,eval_fitness,0.00390625,1244.96875,3.3016680479049683,388.25632,0.9519682
73,ant,DISTANCE_FINAL_POS,single_map,eval_fitness,0.005859375,-3477.3038330078125,26.23985481262207,-545.4062,5.9262424
74,walker,DISTANCE_CONTACT,single_map,eval_fitness,0.25390625,11012.278528094292,218.42025077342987,139.95956,1.7562469
75,humanoid,DISTANCE_CONTACT,single_map,eval_fitness,0.3291015625,101183.33879089355,188.09280247986317,579.88324,1.098099
